,filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,x_Coordinate,y_Coordinate,height,width,region_attributes,Type
0,1.jpg,166728,{},3,0,"{""name"":""rect"",""x"":1226,""y"":22,""width"":49,""height"":78}",1226,22,78,49,"{""Type"":""not_two_wheeler""}",not_two_wheeler
1,1.jpg,166728,{},3,1,"{""name"":""rect"",""x"":606,""y"":-1,""width"":60,""height"":28}",606,-1,28,60,"{""Type"":""not_two_wheeler""}",not_two_wheeler
2,1.jpg,166728,{},3,2,"{""name"":""rect"",""x"":670,""y"":-1,""width"":49,""height"":28}",670,-1,28,49,"{""Type"":""not_two_wheeler""}",not_two_wheeler
3,2.jpg,194787,{},6,0,"{""name"":""rect"",""x"":404,""y"":221,""width"":202,""height"":222}",404,221,222,202,"{""Type"":""not_two_wheeler""}",not_two_wheeler
4,2.jpg,194787,{},6,1,"{""name"":""rect"",""x"":659,""y"":205,""width"":178,""height"":166}",659,205,166,178,"{""Type"":""not_two_wheeler""}",not_two_wheeler
5,2.jpg,194787,{},6,2,"{""name"":""rect"",""x"":810,""y"":123,""width"":191,""height"":118}",810,123,118,191,"{""Type"":""not_two_wheeler""}",not_two_wheeler
6,2.jpg,194787,{},6,3,"{""name"":""rect"",""x"":659,""y"":56,""width"":113,""height"":78}",659,56,78,113,"{""Type"":""not_two_wheeler""}",not_two_wheeler
7,2.jpg,194787,{},6,4,"{""name"":""rect"",""x"":569,""y"":32,""width"":80,""height"":74}",569,32,74,80,"{""Type"":""not_two_wheeler""}",not_two_wheeler
8,2.jpg,194787,{},6,5,"{""name"":""rect"",""x"":764,""y"":15,""width"":81,""height"":54}",764,15,54,81,"{""Type"":""not_two_wheeler""}",not_two_wheeler
9,3.jpg,1308129,{},6,0,"{""name"":""rect"",""x"":275,""y"":354,""width"":300,""height"":335}",275,354,335,300,"{""Type"":""not_two_wheeler""}",not_two_wheeler
10,3.jpg,1308129,{},6,1,"{""name"":""rect"",""x"":655,""y"":297,""width"":252,""height"":245}",655,297,245,252,"{""Type"":""not_two_wheeler""}",not_two_wheeler
11,3.jpg,1308129,{},6,2,"{""name"":""rect"",""x"":852,""y"":169,""width"":222,""height"":160}",852,169,160,222,"{""Type"":""not_two_wheeler""}",not_two_wheeler
12,3.jpg,1308129,{},6,3,"{""name"":""rect"",""x"":655,""y"":77,""width"":121,""height"":105}",655,77,105,121,"{""Type"":""not_two_wheeler""}",not_two_wheeler
13,3.jpg,1308129,{},6,4,"{""name"":""rect"",""x"":555,""y"":51,""width"":89,""height"":81}",555,51,81,89,"{""Type"":""not_two_wheeler""}",not_two_wheeler
14,3.jpg,1308129,{},6,5,"{""name"":""rect"",""x"":775,""y"":31,""width"":96,""height"":64}",775,31,64,96,"{""Type"":""not_two_wheeler""}",not_two_wheeler
15,4.jpg,1400540,{},6,0,"{""name"":""rect"",""x"":661,""y"":508,""width"":381,""height"":207}",661,508,207,381,"{""Type"":""not_two_wheeler""}",not_two_wheeler
16,4.jpg,1400540,{},6,1,"{""name"":""rect"",""x"":937,""y"":264,""width"":340,""height"":302}",937,264,302,340,"{""Type"":""not_two_wheeler""}",not_two_wheeler
17,4.jpg,1400540,{},6,2,"{""name"":""rect"",""x"":644,""y"":119,""width"":158,""height"":136}",644,119,136,158,"{""Type"":""not_two_wheeler""}",not_two_wheeler
18,4.jpg,1400540,{},6,3,"{""name"":""rect"",""x"":539,""y"":76,""width"":99,""height"":103}",539,76,103,99,"{""Type"":""not_two_wheeler""}",not_two_wheeler
19,4.jpg,1400540,{},6,4,"{""name"":""rect"",""x"":778,""y"":53,""width"":123,""height"":82}",778,53,82,123,"{""Type"":""not_two_wheeler""}",not_two_wheeler
20,4.jpg,1400540,{},6,5,"{""name"":""rect"",""x"":668,""y"":22,""width"":68,""height"":68}",668,22,68,68,"{""Type"":""not_two_wheeler""}",not_two_wheeler
21,5.jpg,1411336,{},6,0,"{""name"":""rect"",""x"":646,""y"":326,""width"":282,""height"":329}",646,326,329,282,"{""Type"":""not_two_wheeler""}",not_two_wheeler
22,5.jpg,1411336,{},6,1,"{""name"":""rect"",""x"":458,""y"":182,""width"":166,""height"":180}",458,182,180,166,"{""Type"":""not_two_wheeler""}",not_two_wheeler
23,5.jpg,1411336,{},6,2,"{""name"":""rect"",""x"":854,""y"":137,""width"":180,""height"":151}",854,137,151,180,"{""Type"":""not_two_wheeler""}",not_two_wheeler
24,5.jpg,1411336,{},6,3,"{""name"":""rect"",""x"":657,""y"":73,""width"":119,""height"":100}",657,73,100,119,"{""Type"":""not_two_wheeler""}",not_two_wheeler
25,5.jpg,1411336,{},6,4,"{""name"":""rect"",""x"":759,""y"":10,""width"":74,""height"":60}",759,10,60,74,"{""Type"":""not_two_wheeler""}",not_two_wheeler
26,5.jpg,1411336,{},6,5,"{""name"":""rect"",""x"":669,""y"":14,""width"":67,""height"":51}",669,14,51,67,"{""Type"":""not_two_wheeler""}",not_two_wheeler
27,6.jpg,1424912,{},5,0,"{""name"":""rect"",""x"":282,""y"":344,""width"":320,""height"":359}",282,344,359,320,"{""Type"":""not_two_wheeler""}",not_two_wheeler
28,6.jpg,1424912,{},5,1,"{""name"":""rect"",""x"":947,""y"":299,""width"":329,""height"":268}",947,299,268,329,"{""Type"":""not_two_wheeler""}",not_two_wheeler
